word,stem,predicted,correct
zinaacha,ach,ach,True
zitaacha,ach,ach,True
ziliacha,ach,ach,True
zimeacha,ach,ach,True
zingeacha,ach,ach,True
zingaliacha,ach,ach,True
ziliyeacha,ach,ach,True
zilioacha,ach,ach,True
zilipoacha,ach,ach,True
zikiacha,ach,ach,True
yanaacha,ach,ach,True
yataacha,ach,ach,True
yaliacha,ach,ach,True
yameacha,ach,ach,True
yangeacha,ach,ach,True
yangaliacha,ach,ach,True
yaliyeacha,ach,ach,True
yaliyoacha,ach,ach,True
yalipoacha,ach,ach,True
yakiacha,ach,ach,True
lililoacha,ach,ach,True
aliyoacha,ach,ach,True
liliacha,ach,ach,True
ninayeacha,ach,ach,True
nitayeacha,ach,ach,True
tunayeacha,ach,ach,True
tutayeacha,ach,ach,True
unayeacha,ach,ach,True
utayeacha,ach,ach,True
mnayeacha,ach,ach,True
mtayeacha,ach,ach,True
anayeacha,ach,ach,True
atayeacha,ach,ach,True
wanayeacha,ach,ach,True
watayeacha,ach,ach,True
achama,acham,acham,True
niliachama,acham,acham,True
ninaachama,acham,acham,True
nimeachama,acham,acham,True
nitaachama,acham,acham,True
tuliachama,acham,acham,True
tunaachama,acham,acham,True
tumeachama,acham,acham,True
tutaachama,acham,acham,True
uliachama,acham,acham,True
unaachama,acham,acham,True
umeachama,acham,acham,True
utaachama,acham,acham,True
mliachama,acham,acham,True
mnaachama,acham,acham,True
mmeachama,acham,acham,True
mtaachama,acham,acham,True
aliachama,acham,acham,True
anaachama,acham,acham,True
ameachama,acham,acham,True
ataachama,acham,acham,True
waliachama,acham,acham,True
wanaachama,acham,acham,True
wameachama,acham,acham,True
wataachama,acham,acham,True
huachama,acham,acham,True
kuachama,acham,acham,True
kumuachama,acham,acham,True
kuwaachama,acham,acham,True
ningeachama,acham,acham,True
ungeachama,acham,acham,True
angeachama,acham,acham,True
tungeachama,acham,acham,True
mngeachama,acham,acham,True
wangeachama,acham,acham,True
ningaliachama,acham,acham,True
ungaliachama,acham,acham,True
angaliachama,acham,acham,True
tungaliachama,acham,acham,True
mngaliachama,acham,acham,True
wangaliachama,acham,acham,True
niliyeachama,acham,acham,True
uliyeachama,acham,acham,True
aliyeachama,acham,acham,True
tuliyeachama,acham,acham,True
mliyeachama,acham,acham,True
waliyeachama,acham,acham,True
nilioachama,acham,acham,True
ulioachama,acham,acham,True
alioachama,acham,acham,True
tulioachama,acham,acham,True
mlioachama,acham,acham,True
walioachama,acham,acham,True
nilipoachama,acham,acham,True
ulipoachama,acham,acham,True
alipoachama,acham,acham,True
tulipoachama,acham,acham,True
mlipoachama,acham,acham,True
walipoachama,acham,acham,True
nijapoachama,acham,acham,True
ujapoachama,acham,acham,True
ajapoachama,acham,acham,True
tujapoachama,acham,acham,True
mjapoachama,acham,acham,True
wajapoachama,acham,acham,True
nisipoachama,acham,acham,True
usipoachama,acham,acham,True
asipoachama,acham,acham,True
tusipoachama,acham,acham,True
msipoachama,acham,acham,True
wasipoachama,acham,acham,True
nikiachama,acham,acham,True
ukiachama,acham,acham,True
akiachama,acham,acham,True
tukiachama,acham,acham,True
mkiachama,acham,acham,True
niliyaachama,acham,acham,True
uliyaachama,acham,acham,True
aliyaachama,acham,acham,True
tuliyaachama,acham,acham,True
mliyaachama,acham,acham,True
waliyaachama,acham,acham,True
wakiachama,acham,acham,True
nilichoachama,acham,acham,True
ulichoachama,acham,acham,True
alichoachama,acham,acham,True
tulichoachama,acham,acham,True
mlichoachama,acham,acham,True
walichoachama,acham,acham,True
yalioachama,acham,acham,True
kilichoachama,acham,acham,True
zilizoachama,acham,acham,True
inaachama,acham,acham,True
itaachama,acham,acham,True
iliachama,acham,acham,True
imeachama,acham,acham,True
ingeachama,acham,acham,True
ingaliachama,acham,acham,True
iliyeachama,acham,acham,True
ilioachama,acham,acham,True
iliyoachama,acham,acham,True
ilipoachama,acham,acham,True
ikiachama,acham,acham,True
ilichoachama,acham,acham,True
zinaachama,acham,acham,True
zitaachama,acham,acham,True
ziliachama,acham,acham,True
zimeachama,acham,acham,True
zingeachama,acham,acham,True
zingaliachama,acham,acham,True
ziliyeachama,acham,acham,True
zilioachama,acham,acham,True
zilipoachama,acham,acham,True
zikiachama,acham,acham,True
yanaachama,acham,acham,True
yataachama,acham,acham,True
yaliachama,acham,acham,True
yameachama,acham,acham,True
yangeachama,acham,acham,True
yangaliachama,acham,acham,True
yaliyeachama,acham,acham,True
yaliyoachama,acham,acham,True
yalipoachama,acham,acham,True
yakiachama,acham,acham,True
lililoachama,acham,acham,True
aliyoachama,acham,acham,True
liliachama,acham,acham,True
ninayeachama,acham,acham,True
nitayeachama,acham,acham,True
tunayeachama,acham,acham,True
tutayeachama,acham,acham,True
unayeachama,acham,acham,True
utayeachama,acham,acham,True
mnayeachama,acham,acham,True
mtayeachama,acham,acham,True
anayeachama,acham,acham,True
atayeachama,acham,acham,True
wanayeachama,acham,acham,True
watayeachama,acham,acham,True
achana,ach,ach,True
niliachana,ach,ach,True
ninaachana,ach,ach,True
nimeachana,ach,ach,True
nitaachana,ach,ach,True
tuliachana,ach,ach,True
tunaachana,ach,ach,True
tumeachana,ach,ach,True
tutaachana,ach,ach,True
uliachana,ach,ach,True
unaachana,ach,ach,True
umeachana,ach,ach,True
utaachana,ach,ach,True
mliachana,ach,ach,True
mnaachana,ach,ach,True
mmeachana,ach,ach,True
mtaachana,ach,ach,True
aliachana,ach,ach,True
anaachana,ach,ach,True
ameachana,ach,ach,True
ataachana,ach,ach,True
waliachana,ach,ach,True
wanaachana,ach,ach,True
wameachana,ach,ach,True
wataachana,ach,ach,True
huachana,ach,ach,True
kuachana,ach,ach,True
kumuachana,ach,ach,True
kuwaachana,ach,ach,True
ningeachana,ach,ach,True
ungeachana,ach,ach,True
angeachana,ach,ach,True
tungeachana,ach,ach,True
mngeachana,ach,ach,True
wangeachana,ach,ach,True
ningaliachana,ach,ach,True
ungaliachana,ach,ach,True
angaliachana,ach,ach,True
tungaliachana,ach,ach,True
mngaliachana,ach,ach,True
wangaliachana,ach,ach,True
niliyeachana,ach,ach,True
uliyeachana,ach,ach,True
aliyeachana,ach,ach,True
tuliyeachana,ach,ach,True
mliyeachana,ach,ach,True
waliyeachana,ach,ach,True
nilioachana,ach,ach,True
ulioachana,ach,ach,True
alioachana,ach,ach,True
tulioachana,ach,ach,True
mlioachana,ach,ach,True
walioachana,ach,ach,True
nilipoachana,ach,ach,True
ulipoachana,ach,ach,True
alipoachana,ach,ach,True
tulipoachana,ach,ach,True
mlipoachana,ach,ach,True
walipoachana,ach,ach,True
nijapoachana,ach,ach,True
ujapoachana,ach,ach,True
ajapoachana,ach,ach,True
tujapoachana,ach,ach,True
mjapoachana,ach,ach,True
wajapoachana,ach,ach,True
nisipoachana,ach,ach,True
usipoachana,ach,ach,True
asipoachana,ach,ach,True
tusipoachana,ach,ach,True
msipoachana,ach,ach,True
wasipoachana,ach,ach,True
nikiachana,ach,ach,True
ukiachana,ach,ach,True
akiachana,ach,ach,True
tukiachana,ach,ach,True
mkiachana,ach,ach,True
niliyaachana,ach,ach,True
uliyaachana,ach,ach,True
aliyaachana,ach,ach,True
tuliyaachana,ach,ach,True
mliyaachana,ach,ach,True
waliyaachana,ach,ach,True
wakiachana,ach,ach,True
nilichoachana,ach,ach,True
ulichoachana,ach,ach,True
alichoachana,ach,ach,True
tulichoachana,ach,ach,True
mlichoachana,ach,ach,True
walichoachana,ach,ach,True
yalioachana,ach,ach,True
kilichoachana,ach,ach,True
zilizoachana,ach,ach,True
inaachana,ach,ach,True
itaachana,ach,ach,True
iliachana,ach,ach,True
imeachana,ach,ach,True
ingeachana,ach,ach,True
ingaliachana,ach,ach,True
iliyeachana,ach,ach,True
ilioachana,ach,ach,True
iliyoachana,ach,ach,True
ilipoachana,ach,ach,True
ikiachana,ach,ach,True
ilichoachana,ach,ach,True
zinaachana,ach,ach,True
zitaachana,ach,ach,True
ziliachana,ach,ach,True
zimeachana,ach,ach,True
zingeachana,ach,ach,True
zingaliachana,ach,ach,True
ziliyeachana,ach,ach,True
zilioachana,ach,ach,True
zilipoachana,ach,ach,True
zikiachana,ach,ach,True
yanaachana,ach,ach,True
yataachana,ach,ach,True
yaliachana,ach,ach,True
yameachana,ach,ach,True
yangeachana,ach,ach,True
yangaliachana,ach,ach,True
yaliyeachana,ach,ach,True
yaliyoachana,ach,ach,True
yalipoachana,ach,ach,True
yakiachana,ach,ach,True
lililoachana,ach,ach,True
aliyoachana,ach,ach,True
liliachana,ach,ach,True
ninayeachana,ach,ach,True
nitayeachana,ach,ach,True
tunayeachana,ach,ach,True
tutayeachana,ach,ach,True
unayeachana,ach,ach,True
utayeachana,ach,ach,True
mnayeachana,ach,ach,True
mtayeachana,ach,ach,True
anayeachana,ach,ach,True
atayeachana,ach,ach,True
wanayeachana,ach,ach,True
watayeachana,ach,ach,True
achanisha,ach,ach,True
niliachanisha,ach,ach,True
ninaachanisha,ach,ach,True
nimeachanisha,ach,ach,True
nitaachanisha,ach,ach,True
tuliachanisha,ach,ach,True
tunaachanisha,ach,ach,True
tumeachanisha,ach,ach,True
tutaachanisha,ach,ach,True
uliachanisha,ach,ach,True
unaachanisha,ach,ach,True
umeachanisha,ach,ach,True
utaachanisha,ach,ach,True
mliachanisha,ach,ach,True
mnaachanisha,ach,ach,True
mmeachanisha,ach,ach,True
mtaachanisha,ach,ach,True
aliachanisha,ach,ach,True
anaachanisha,ach,ach,True
ameachanisha,ach,ach,True
ataachanisha,ach,ach,True
waliachanisha,ach,ach,True
wanaachanisha,ach,ach,True
wameachanisha,ach,ach,True
wataachanisha,ach,ach,True
huachanisha,ach,ach,True
kuachanisha,ach,ach,True
kumuachanisha,ach,ach,True
kuwaachanisha,ach,ach,True
ningeachanisha,ach,ach,True
ungeachanisha,ach,ach,True
angeachanisha,ach,ach,True
tungeachanisha,ach,ach,True
mngeachanisha,ach,ach,True
wangeachanisha,ach,ach,True
ningaliachanisha,ach,ach,True
ungaliachanisha,ach,ach,True
angaliachanisha,ach,ach,True
tungaliachanisha,ach,ach,True
mngaliachanisha,ach,ach,True
wangaliachanisha,ach,ach,True
niliyeachanisha,ach,ach,True
uliyeachanisha,ach,ach,True
aliyeachanisha,ach,ach,True
tuliyeachanisha,ach,ach,True
mliyeachanisha,ach,ach,True
waliyeachanisha,ach,ach,True
nilioachanisha,ach,ach,True
ulioachanisha,ach,ach,True
alioachanisha,ach,ach,True
tulioachanisha,ach,ach,True
mlioachanisha,ach,ach,True
walioachanisha,ach,ach,True
nilipoachanisha,ach,ach,True
ulipoachanisha,ach,ach,True
alipoachanisha,ach,ach,True
tulipoachanisha,ach,ach,True
mlipoachanisha,ach,ach,True
walipoachanisha,ach,ach,True
nijapoachanisha,ach,ach,True
ujapoachanisha,ach,ach,True
ajapoachanisha,ach,ach,True
tujapoachanisha,ach,ach,True
mjapoachanisha,ach,ach,True
wajapoachanisha,ach,ach,True
nisipoachanisha,ach,ach,True
usipoachanisha,ach,ach,True
asipoachanisha,ach,ach,True
tusipoachanisha,ach,ach,True
msipoachanisha,ach,ach,True
wasipoachanisha,ach,ach,True
nikiachanisha,ach,ach,True
ukiachanisha,ach,ach,True
akiachanisha,ach,ach,True
tukiachanisha,ach,ach,True
mkiachanisha,ach,ach,True
niliyaachanisha,ach,ach,True
uliyaachanisha,ach,ach,True
aliyaachanisha,ach,ach,True
tuliyaachanisha,ach,ach,True
mliyaachanisha,ach,ach,True
waliyaachanisha,ach,ach,True
wakiachanisha,ach,ach,True
nilichoachanisha,ach,ach,True
ulichoachanisha,ach,ach,True
alichoachanisha,ach,ach,True
tulichoachanisha,ach,ach,True
mlichoachanisha,ach,ach,True
walichoachanisha,ach,ach,True
yalioachanisha,ach,ach,True
kilichoachanisha,ach,ach,True
zilizoachanisha,ach,ach,True
inaachanisha,ach,ach,True
itaachanisha,ach,ach,True
iliachanisha,ach,ach,True
imeachanisha,ach,ach,True
ingeachanisha,ach,ach,True
ingaliachanisha,ach,ach,True
iliyeachanisha,ach,ach,True
ilioachanisha,ach,ach,True
iliyoachanisha,ach,ach,True
ilipoachanisha,ach,ach,True
ikiachanisha,ach,ach,True
ilichoachanisha,ach,ach,True
zinaachanisha,ach,ach,True
zitaachanisha,ach,ach,True
ziliachanisha,ach,ach,True
zimeachanisha,ach,ach,True
zingeachanisha,ach,ach,True
zingaliachanisha,ach,ach,True
ziliyeachanisha,ach,ach,True
zilioachanisha,ach,ach,True
zilipoachanisha,ach,ach,True
zikiachanisha,ach,ach,True
yanaachanisha,ach,ach,True
yataachanisha,ach,ach,True
yaliachanisha,ach,ach,True
yameachanisha,ach,ach,True
yangeachanisha,ach,ach,True
yangaliachanisha,ach,ach,True
yaliyeachanisha,ach,ach,True
yaliyoachanisha,ach,ach,True
yalipoachanisha,ach,ach,True
yakiachanisha,ach,ach,True
lililoachanisha,ach,ach,True
aliyoachanisha,ach,ach,True
liliachanisha,ach,ach,True
ninayeachanisha,ach,ach,True
nitayeachanisha,ach,ach,True
tunayeachanisha,ach,ach,True
tutayeachanisha,ach,ach,True
unayeachanisha,ach,ach,True
utayeachanisha,ach,ach,True
mnayeachanisha,ach,ach,True
mtayeachanisha,ach,ach,True
anayeachanisha,ach,ach,True
atayeachanisha,ach,ach,True
wanayeachanisha,ach,ach,True
watayeachanisha,ach,ach,True
achia,ach,ach,True
niliachia,ach,ach,True
ninaachia,ach,ach,True
nimeachia,ach,ach,True
nitaachia,ach,ach,True
tuliachia,ach,ach,True
tunaachia,ach,ach,True
tumeachia,ach,ach,True
tutaachia,ach,ach,True
uliachia,ach,ach,True
unaachia,ach,ach,True
umeachia,ach,ach,True
utaachia,ach,ach,True
mliachia,ach,ach,True
mnaachia,ach,ach,True
mmeachia,ach,ach,True
mtaachia,ach,ach,True
aliachia,ach,ach,True
anaachia,ach,ach,True
ameachia,ach,ach,True
ataachia,ach,ach,True
waliachia,ach,ach,True
wanaachia,ach,ach,True
wameachia,ach,ach,True
wataachia,ach,ach,True
huachia,ach,ach,True
kuachia,ach,ach,True
kumuachia,ach,ach,True
kuwaachia,ach,ach,True
ningeachia,ach,ach,True
ungeachia,ach,ach,True
angeachia,ach,ach,True
tungeachia,ach,ach,True
mngeachia,ach,ach,True
wangeachia,ach,ach,True
ningaliachia,ach,ach,True
ungaliachia,ach,ach,True
angaliachia,ach,ach,True
tungaliachia,ach,ach,True
mngaliachia,ach,ach,True
wangaliachia,ach,ach,True
niliyeachia,ach,ach,True
uliyeachia,ach,ach,True
aliyeachia,ach,ach,True
tuliyeachia,ach,ach,True
mliyeachia,ach,ach,True
waliyeachia,ach,ach,True
nilioachia,ach,ach,True
ulioachia,ach,ach,True
alioachia,ach,ach,True
tulioachia,ach,ach,True
mlioachia,ach,ach,True
walioachia,ach,ach,True
nilipoachia,ach,ach,True
ulipoachia,ach,ach,True
alipoachia,ach,ach,True
tulipoachia,ach,ach,True
mlipoachia,ach,ach,True
walipoachia,ach,ach,True
nijapoachia,ach,ach,True
ujapoachia,ach,ach,True
ajapoachia,ach,ach,True
tujapoachia,ach,ach,True
mjapoachia,ach,ach,True
wajapoachia,ach,ach,True
nisipoachia,ach,ach,True
usipoachia,ach,ach,True
asipoachia,ach,ach,True
tusipoachia,ach,ach,True
msipoachia,ach,ach,True
wasipoachia,ach,ach,True
nikiachia,ach,ach,True
ukiachia,ach,ach,True
akiachia,ach,ach,True
tukiachia,ach,ach,True
mkiachia,ach,ach,True
niliyaachia,ach,ach,True
uliyaachia,ach,ach,True
aliyaachia,ach,ach,True
tuliyaachia,ach,ach,True
mliyaachia,ach,ach,True
waliyaachia,ach,ach,True
wakiachia,ach,ach,True
nilichoachia,ach,ach,True
ulichoachia,ach,ach,True
alichoachia,ach,ach,True
tulichoachia,ach,ach,True
mlichoachia,ach,ach,True
walichoachia,ach,ach,True
yalioachia,ach,ach,True
kilichoachia,ach,ach,True
zilizoachia,ach,ach,True
inaachia,ach,ach,True
itaachia,ach,ach,True
iliachia,ach,ach,True
imeachia,ach,ach,True
ingeachia,ach,ach,True
ingaliachia,ach,ach,True
iliyeachia,ach,ach,True
ilioachia,ach,ach,True
iliyoachia,ach,ach,True
ilipoachia,ach,ach,True
ikiachia,ach,ach,True
ilichoachia,ach,ach,True
zinaachia,ach,ach,True
zitaachia,ach,ach,True
ziliachia,ach,ach,True
zimeachia,ach,ach,True
zingeachia,ach,ach,True
zingaliachia,ach,ach,True
ziliyeachia,ach,ach,True
zilioachia,ach,ach,True
zilipoachia,ach,ach,True
zikiachia,ach,ach,True
yanaachia,ach,ach,True
yataachia,ach,ach,True
yaliachia,ach,ach,True
yameachia,ach,ach,True
yangeachia,ach,ach,True
yangaliachia,ach,ach,True
yaliyeachia,ach,ach,True
yaliyoachia,ach,ach,True
yalipoachia,ach,ach,True
yakiachia,ach,ach,True
lililoachia,ach,ach,True
aliyoachia,ach,ach,True
liliachia,ach,ach,True
ninayeachia,ach,ach,True
nitayeachia,ach,ach,True
tunayeachia,ach,ach,True
tutayeachia,ach,ach,True
unayeachia,ach,ach,True
utayeachia,ach,ach,True
mnayeachia,ach,ach,True
mtayeachia,ach,ach,True
anayeachia,ach,ach,True
atayeachia,ach,ach,True
wanayeachia,ach,ach,True
watayeachia,ach,ach,True
achika,ach,ach,True
niliachika,ach,ach,True
ninaachika,ach,ach,True
nimeachika,ach,ach,True
nitaachika,ach,ach,True
tuliachika,ach,ach,True
tunaachika,ach,ach,True
tumeachika,ach,ach,True
tutaachika,ach,ach,True
uliachika,ach,ach,True
unaachika,ach,ach,True
umeachika,ach,ach,True
utaachika,ach,ach,True
mliachika,ach,ach,True
mnaachika,ach,ach,True
mmeachika,ach,ach,True
mtaachika,ach,ach,True
aliachika,ach,ach,True
anaachika,ach,ach,True
ameachika,ach,ach,True
ataachika,ach,ach,True
waliachika,ach,ach,True
wanaachika,ach,ach,True
wameachika,ach,ach,True
wataachika,ach,ach,True
huachika,ach,ach,True
kuachika,ach,ach,True
kumuachika,ach,ach,True
kuwaachika,ach,ach,True
ningeachika,ach,ach,True
ungeachika,ach,ach,True
angeachika,ach,ach,True
tungeachika,ach,ach,True
mngeachika,ach,ach,True
wangeachika,ach,ach,True
ningaliachika,ach,ach,True
ungaliachika,ach,ach,True
angaliachika,ach,ach,True
tungaliachika,ach,ach,True
mngaliachika,ach,ach,True
wangaliachika,ach,ach,True
niliyeachika,ach,ach,True
uliyeachika,ach,ach,True
aliyeachika,ach,ach,True
tuliyeachika,ach,ach,True
mliyeachika,ach,ach,True
waliyeachika,ach,ach,True
nilioachika,ach,ach,True
ulioachika,ach,ach,True
alioachika,ach,ach,True
tulioachika,ach,ach,True
mlioachika,ach,ach,True
walioachika,ach,ach,True
nilipoachika,ach,ach,True
ulipoachika,ach,ach,True
alipoachika,ach,ach,True
tulipoachika,ach,ach,True
mlipoachika,ach,ach,True
walipoachika,ach,ach,True
nijapoachika,ach,ach,True
ujapoachika,ach,ach,True
ajapoachika,ach,ach,True
tujapoachika,ach,ach,True
mjapoachika,ach,ach,True
wajapoachika,ach,ach,True
nisipoachika,ach,ach,True
usipoachika,ach,ach,True
asipoachika,ach,ach,True
tusipoachika,ach,ach,True
msipoachika,ach,ach,True
wasipoachika,ach,ach,True
nikiachika,ach,ach,True
ukiachika,ach,ach,True
akiachika,ach,ach,True
tukiachika,ach,ach,True
mkiachika,ach,ach,True
niliyaachika,ach,ach,True
uliyaachika,ach,ach,True
aliyaachika,ach,ach,True
tuliyaachika,ach,ach,True
mliyaachika,ach,ach,True
waliyaachika,ach,ach,True
wakiachika,ach,ach,True
nilichoachika,ach,ach,True
ulichoachika,ach,ach,True
alichoachika,ach,ach,True
tulichoachika,ach,ach,True
mlichoachika,ach,ach,True
walichoachika,ach,ach,True
yalioachika,ach,ach,True
kilichoachika,ach,ach,True
zilizoachika,ach,ach,True
inaachika,ach,ach,True
itaachika,ach,ach,True
iliachika,ach,ach,True
imeachika,ach,ach,True
ingeachika,ach,ach,True
ingaliachika,ach,ach,True
iliyeachika,ach,ach,True
ilioachika,ach,ach,True
iliyoachika,ach,ach,True
ilipoachika,ach,ach,True
ikiachika,ach,ach,True
ilichoachika,ach,ach,True
zinaachika,ach,ach,True
zitaachika,ach,ach,True
ziliachika,ach,ach,True
zimeachika,ach,ach,True
zingeachika,ach,ach,True
zingaliachika,ach,ach,True
ziliyeachika,ach,ach,True
zilioachika,ach,ach,True
zilipoachika,ach,ach,True
zikiachika,ach,ach,True
yanaachika,ach,ach,True
yataachika,ach,ach,True
yaliachika,ach,ach,True
yameachika,ach,ach,True
yangeachika,ach,ach,True
yangaliachika,ach,ach,True
yaliyeachika,ach,ach,True
yaliyoachika,ach,ach,True
yalipoachika,ach,ach,True
yakiachika,ach,ach,True
lililoachika,ach,ach,True
aliyoachika,ach,ach,True
liliachika,ach,ach,True
ninayeachika,ach,ach,True
nitayeachika,ach,ach,True
tunayeachika,ach,ach,True
tutayeachika,ach,ach,True
unayeachika,ach,ach,True
utayeachika,ach,ach,True
mnayeachika,ach,ach,True
mtayeachika,ach,ach,True
anayeachika,ach,ach,True
atayeachika,ach,ach,True
wanayeachika,ach,ach,True
watayeachika,ach,ach,True
achilia,ach,ach,True
niliachilia,ach,ach,True
ninaachilia,ach,ach,True
nimeachilia,ach,ach,True
nitaachilia,ach,ach,True
tuliachilia,ach,ach,True
tunaachilia,ach,ach,True
tumeachilia,ach,ach,True
tutaachilia,ach,ach,True
uliachilia,ach,ach,True
unaachilia,ach,ach,True
umeachilia,ach,ach,True
utaachilia,ach,ach,True
mliachilia,ach,ach,True
mnaachilia,ach,ach,True
mmeachilia,ach,ach,True
mtaachilia,ach,ach,True
aliachilia,ach,ach,True
anaachilia,ach,ach,True
ameachilia,ach,ach,True
ataachilia,ach,ach,True
waliachilia,ach,ach,True
wanaachilia,ach,ach,True
wameachilia,ach,ach,True
wataachilia,ach,ach,True
huachilia,ach,ach,True
kuachilia,ach,ach,True
kumuachilia,ach,ach,True
kuwaachilia,ach,ach,True
ningeachilia,ach,ach,True
ungeachilia,ach,ach,True
angeachilia,ach,ach,True
tungeachilia,ach,ach,True
mngeachilia,ach,ach,True
wangeachilia,ach,ach,True
ningaliachilia,ach,ach,True
ungaliachilia,ach,ach,True
angaliachilia,ach,ach,True
tungaliachilia,ach,ach,True
mngaliachilia,ach,ach,True
wangaliachilia,ach,ach,True
niliyeachilia,ach,ach,True
uliyeachilia,ach,ach,True
aliyeachilia,ach,ach,True
tuliyeachilia,ach,ach,True
mliyeachilia,ach,ach,True
waliyeachilia,ach,ach,True
nilioachilia,ach,ach,True
ulioachilia,ach,ach,True
alioachilia,ach,ach,True
tulioachilia,ach,ach,True
mlioachilia,ach,ach,True
walioachilia,ach,ach,True
nilipoachilia,ach,ach,True
ulipoachilia,ach,ach,True
alipoachilia,ach,ach,True
tulipoachilia,ach,ach,True
mlipoachilia,ach,ach,True
walipoachilia,ach,ach,True
nijapoachilia,ach,ach,True
ujapoachilia,ach,ach,True
ajapoachilia,ach,ach,True
tujapoachilia,ach,ach,True
mjapoachilia,ach,ach,True
wajapoachilia,ach,ach,True
nisipoachilia,ach,ach,True
usipoachilia,ach,ach,True
asipoachilia,ach,ach,True
tusipoachilia,ach,ach,True
msipoachilia,ach,ach,True
wasipoachilia,ach,ach,True
nikiachilia,ach,ach,True
ukiachilia,ach,ach,True
akiachilia,ach,ach,True
tukiachilia,ach,ach,True
mkiachilia,ach,ach,True
niliyaachilia,ach,ach,True
uliyaachilia,ach,ach,True
aliyaachilia,ach,ach,True
tuliyaachilia,ach,ach,True
mliyaachilia,ach,ach,True
waliyaachilia,ach,ach,True
wakiachilia,ach,ach,True
nilichoachilia,ach,ach,True
ulichoachilia,ach,ach,True
alichoachilia,ach,ach,True
tulichoachilia,ach,ach,True
mlichoachilia,ach,ach,True
walichoachilia,ach,ach,True
yalioachilia,ach,ach,True
kilichoachilia,ach,ach,True
zilizoachilia,ach,ach,True
inaachilia,ach,ach,True
itaachilia,ach,ach,True
iliachilia,ach,ach,True
imeachilia,ach,ach,True
ingeachilia,ach,ach,True
ingaliachilia,ach,ach,True
iliyeachilia,ach,ach,True
ilioachilia,ach,ach,True
iliyoachilia,ach,ach,True
ilipoachilia,ach,ach,True
ikiachilia,ach,ach,True
ilichoachilia,ach,ach,True
zinaachilia,ach,ach,True
zitaachilia,ach,ach,True
ziliachilia,ach,ach,True
zimeachilia,ach,ach,True
zingeachilia,ach,ach,True
zingaliachilia,ach,ach,True
ziliyeachilia,ach,ach,True
zilioachilia,ach,ach,True
zilipoachilia,ach,ach,True
zikiachilia,ach,ach,True
yanaachilia,ach,ach,True
yataachilia,ach,ach,True
yaliachilia,ach,ach,True
yameachilia,ach,ach,True
yangeachilia,ach,ach,True
yangaliachilia,ach,ach,True
